epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1078,1.53048,3.21032,1.80124,0.0168,0.86667,0.22595,0.10656,1.26378,3.08742,2.03342,0,0,0
2,13.8102,1.86076,3.0865,2.21272,0.01695,0.86667,0.22394,0.10392,1.23825,3.09718,1.93648,1.40071e-05,1.40071e-05,1.40071e-05
3,14.398,1.55443,3.01885,1.92305,0.01696,0.86667,0.24518,0.10729,1.24148,3.10023,1.86532,2.74482e-05,2.74482e-05,2.74482e-05
4,17.1798,1.45237,3.23735,1.80557,0.0166,0.86667,0.26203,0.11415,1.12045,3.11723,1.7429,4.03235e-05,4.03235e-05,4.03235e-05
5,18.1111,1.36316,2.94413,1.75675,0.0169,0.86667,0.21213,0.12559,1.02372,3.08089,1.65806,5.26329e-05,5.26329e-05,5.26329e-05
6,18.6584,1.43504,3.27638,1.73156,0.01705,0.86667,0.25007,0.1521,0.8866,3.04857,1.52423,6.43764e-05,6.43764e-05,6.43764e-05
7,19.1613,1.36393,3.62843,2.13034,0.01704,0.86667,0.23877,0.15293,0.88821,3.02976,1.5178,7.55541e-05,7.55541e-05,7.55541e-05
8,19.6483,1.38214,3.0257,1.69251,0.01721,0.86667,0.39709,0.19938,0.82992,2.99876,1.49869,8.61658e-05,8.61658e-05,8.61658e-05
9,20.1638,1.62331,2.93253,2.00337,0.01767,0.86667,0.33601,0.2152,0.81941,2.96944,1.50272,9.62117e-05,9.62117e-05,9.62117e-05
10,20.6326,1.00281,3.10311,1.40894,0.01758,0.86667,0.34191,0.26982,0.78317,2.96177,1.44217,0.000105692,0.000105692,0.000105692
11,21.2523,0.97058,2.95089,1.57719,0.01777,0.86667,0.36652,0.29449,0.72413,2.98026,1.35889,0.000114606,0.000114606,0.000114606
12,21.9369,0.75656,2.85305,1.30218,0.0179,0.86667,0.35865,0.26931,0.76205,2.97103,1.3464,0.000122954,0.000122954,0.000122954
13,22.4706,0.81939,2.69941,1.38096,0.01845,0.86667,0.40531,0.28761,0.81916,2.96796,1.33318,0.000130736,0.000130736,0.000130736
14,22.9964,1.36966,2.85971,1.73097,0.0278,0.93333,0.38261,0.2721,0.7426,2.97667,1.24458,0.000137953,0.000137953,0.000137953
15,23.4951,1.48775,2.66414,1.89703,0.03105,0.93333,0.42412,0.32783,0.69798,2.93918,1.18602,0.000144603,0.000144603,0.000144603
16,24.0127,0.75754,2.71748,1.27983,0.03621,0.93333,0.44321,0.34167,0.69951,2.91515,1.14346,0.000150688,0.000150688,0.000150688
17,24.5441,0.83082,2.93112,1.23924,0.04209,0.93333,0.4806,0.41073,0.63921,2.87564,1.10267,0.000156207,0.000156207,0.000156207
18,25.0886,1.26034,2.35714,1.60552,0.04209,0.93333,0.4806,0.41073,0.63921,2.87564,1.10267,0.00016116,0.00016116,0.00016116
19,25.6209,0.59604,2.3459,1.23371,0.04314,0.93333,0.56733,0.50603,0.57923,2.8432,1.06184,0.000165547,0.000165547,0.000165547
20,26.1097,1.31235,2.37547,1.93153,0.04314,0.93333,0.56733,0.50603,0.57923,2.8432,1.06184,0.000169368,0.000169368,0.000169368
21,26.7198,1.15157,2.2956,1.49746,0.04672,0.93333,0.56771,0.4966,0.58114,2.80606,1.03908,0.000172623,0.000172623,0.000172623
22,27.3812,0.92432,2.30736,1.39896,0.04672,0.93333,0.56771,0.4966,0.58114,2.80606,1.03908,0.000175313,0.000175313,0.000175313
23,27.9282,0.76281,2.54775,1.18866,0.05101,0.93333,0.5424,0.44128,0.5698,2.79907,1.06215,0.000177436,0.000177436,0.000177436
24,28.4696,0.7958,2.28492,1.36943,0.05101,0.93333,0.5424,0.44128,0.5698,2.79907,1.06215,0.000178994,0.000178994,0.000178994
25,28.9972,0.50172,1.94782,0.98125,0.05447,0.93333,0.49896,0.38055,0.61982,2.75703,1.07091,0.000179985,0.000179985,0.000179985
26,29.4669,0.96152,2.34436,1.3843,0.05447,0.93333,0.49896,0.38055,0.61982,2.75703,1.07091,0.000180411,0.000180411,0.000180411
27,30.0158,0.99845,2.80813,1.28026,0.05634,0.93333,0.45255,0.32365,0.64068,2.74045,1.10139,0.000180271,0.000180271,0.000180271
28,30.5755,1.15554,2.38942,1.6896,0.05634,0.93333,0.45255,0.32365,0.64068,2.74045,1.10139,0.000179565,0.000179565,0.000179565
29,31.0952,0.82263,2.13044,1.34882,0.06052,0.93333,0.45538,0.32354,0.61335,2.70622,1.07945,0.000178293,0.000178293,0.000178293
30,31.6141,0.92116,2.42166,1.2725,0.06052,0.93333,0.45538,0.32354,0.61335,2.70622,1.07945,0.000176456,0.000176456,0.000176456
31,32.1989,0.98914,2.33178,1.37444,0.06917,1,0.43716,0.31654,0.58437,2.68214,1.05042,0.000174052,0.000174052,0.000174052
32,32.8371,0.49142,1.55618,1.01217,0.06917,1,0.43716,0.31654,0.58437,2.68214,1.05042,0.000171083,0.000171083,0.000171083
33,33.4969,0.63621,1.90669,1.08481,0.07157,0.93333,0.41992,0.36189,0.5043,2.6273,0.99954,0.000167547,0.000167547,0.000167547
34,34.0974,0.98024,1.89484,1.54311,0.07157,0.93333,0.41992,0.36189,0.5043,2.6273,0.99954,0.000163446,0.000163446,0.000163446
35,34.7353,0.85293,1.78186,1.32473,0.09264,1,0.47347,0.41792,0.45186,2.57299,0.97399,0.000158779,0.000158779,0.000158779
36,35.2659,0.94855,1.76153,1.33526,0.09264,1,0.47347,0.41792,0.45186,2.57299,0.97399,0.000153546,0.000153546,0.000153546
37,35.8402,0.59496,1.62295,1.16501,0.08431,1,0.64671,0.58031,0.43648,2.51449,0.97326,0.000147747,0.000147747,0.000147747
38,36.3692,0.81064,1.92303,1.23609,0.08431,1,0.64671,0.58031,0.43648,2.51449,0.97326,0.000141382,0.000141382,0.000141382
39,37.0167,0.48245,1.8534,1.01862,0.08831,1,0.65686,0.60115,0.43958,2.46935,0.99186,0.000134452,0.000134452,0.000134452
40,37.7651,0.43022,1.81047,0.9808,0.08831,1,0.65686,0.60115,0.43958,2.46935,0.99186,0.000126955,0.000126955,0.000126955
